data,acucar_usd
02/01/1973,9.74
03/01/1973,9.45
04/01/1973,9.65
05/01/1973,9.5
08/01/1973,9.65
09/01/1973,9.87
10/01/1973,9.92
11/01/1973,10.11
12/01/1973,10.4
15/01/1973,10.34
16/01/1973,10.05
17/01/1973,9.77
18/01/1973,9.31
19/01/1973,8.81
22/01/1973,9.1
23/01/1973,8.6
24/01/1973,8.76
26/01/1973,9.23
29/01/1973,9.16
30/01/1973,9.17
31/01/1973,9.5
01/02/1973,9.69
02/02/1973,9.78
05/02/1973,9.54
06/02/1973,9.22
07/02/1973,9.19
08/02/1973,8.92
09/02/1973,9.11
13/02/1973,8.86
14/02/1973,8.64
15/02/1973,8.6
16/02/1973,8.39
20/02/1973,8.89
21/02/1973,9.02
22/02/1973,9.05
23/02/1973,8.93
26/02/1973,8.57
27/02/1973,8.86
28/02/1973,9.05
01/03/1973,9.3
02/03/1973,8.82
05/03/1973,8.63
06/03/1973,8.85
07/03/1973,9.12
08/03/1973,8.96
09/03/1973,9
12/03/1973,8.85
13/03/1973,8.68
14/03/1973,8.9
15/03/1973,8.76
16/03/1973,8.8
19/03/1973,8.62
20/03/1973,8.7
21/03/1973,8.59
22/03/1973,8.8
23/03/1973,9.22
26/03/1973,9.1
27/03/1973,9.15
28/03/1973,9.08
29/03/1973,9.45
30/03/1973,9.47
02/04/1973,9.07
03/04/1973,9.16
04/04/1973,9.14
05/04/1973,9.21
06/04/1973,9.06
09/04/1973,8.83
10/04/1973,8.75
11/04/1973,8.73
12/04/1973,8.84
13/04/1973,9.01
16/04/1973,9.08
17/04/1973,8.94
18/04/1973,9.16
19/04/1973,9.24
23/04/1973,9.32
24/04/1973,9.1
25/04/1973,9.02
26/04/1973,9.22
27/04/1973,9.42
30/04/1973,9.13
01/05/1973,8.96
02/05/1973,8.94
03/05/1973,9.04
04/05/1973,8.99
07/05/1973,8.92
08/05/1973,9.07
09/05/1973,9.33
10/05/1973,9.3
11/05/1973,9.03
14/05/1973,9.28
15/05/1973,9.14
16/05/1973,9.21
17/05/1973,9.43
18/05/1973,9.92
21/05/1973,10.29
22/05/1973,10.58
23/05/1973,10.56
24/05/1973,10.63
25/05/1973,10.95
29/05/1973,11.05
30/05/1973,10.55
31/05/1973,10.51
01/06/1973,10.49
04/06/1973,10.4
05/06/1973,9.95
06/06/1973,9.5
07/06/1973,9.6
08/06/1973,9.47
11/06/1973,9.3
12/06/1973,9.1
13/06/1973,9.42
14/06/1973,9.6
15/06/1973,9.97
18/06/1973,10.1
19/06/1973,9.95
20/06/1973,9.85
21/06/1973,9.76
22/06/1973,9.67
25/06/1973,9.9
26/06/1973,9.9
27/06/1973,9.98
28/06/1973,9.48
29/06/1973,9.42
02/07/1973,9.5
03/07/1973,9.48
05/07/1973,9.98
06/07/1973,10
09/07/1973,9.91
10/07/1973,9.67
11/07/1973,9.93
12/07/1973,9.48
13/07/1973,9.51
16/07/1973,9.72
17/07/1973,9.45
18/07/1973,9.56
19/07/1973,9.75
20/07/1973,9.82
23/07/1973,10.32
24/07/1973,9.95
25/07/1973,10.23
26/07/1973,10
27/07/1973,9.63
30/07/1973,9.8
31/07/1973,9.99
01/08/1973,9.94
02/08/1973,9.64
03/08/1973,9.92
06/08/1973,9.93
07/08/1973,9.44
08/08/1973,9.65
09/08/1973,9.6
10/08/1973,9.43
13/08/1973,8.93
14/08/1973,8.62
15/08/1973,8.52
16/08/1973,8.76
17/08/1973,8.69
20/08/1973,8.61
21/08/1973,8.63
22/08/1973,8.75
23/08/1973,8.87
24/08/1973,8.96
27/08/1973,8.77
28/08/1973,8.62
29/08/1973,8.74
30/08/1973,8.49
31/08/1973,8.6
04/09/1973,8.45
05/09/1973,8.51
06/09/1973,8.34
07/09/1973,8.44
10/09/1973,8.52
11/09/1973,8.57
12/09/1973,8.52
13/09/1973,8.51
14/09/1973,8.93
17/09/1973,9.11
18/09/1973,9.27
19/09/1973,9.62
20/09/1973,9.31
21/09/1973,9.34
24/09/1973,9.34
25/09/1973,9.34
26/09/1973,9.66
27/09/1973,9.69
28/09/1973,9.8
01/10/1973,8.78
02/10/1973,9.18
03/10/1973,9.21
04/10/1973,9.21
05/10/1973,9.27
09/10/1973,9.53
10/10/1973,9.62
11/10/1973,9.29
12/10/1973,8.96
15/10/1973,8.85
16/10/1973,9.1
17/10/1973,8.98
18/10/1973,9.11
19/10/1973,9.17
23/10/1973,9.18
24/10/1973,9.55
25/10/1973,9.5
26/10/1973,9.7
29/10/1973,9.93
30/10/1973,9.76
31/10/1973,9.86
01/11/1973,10.19
02/11/1973,9.94
05/11/1973,9.79
07/11/1973,10.08
08/11/1973,9.96
09/11/1973,10.12
12/11/1973,10.26
13/11/1973,10.28
14/11/1973,10.11
15/11/1973,10.09
16/11/1973,10.59
19/11/1973,10.74
20/11/1973,10.24
21/11/1973,10.18
23/11/1973,10.2
26/11/1973,9.7
27/11/1973,9.37
28/11/1973,9.76
29/11/1973,9.86
30/11/1973,9.88
03/12/1973,9.82
04/12/1973,10.01
05/12/1973,9.86
06/12/1973,10.36
07/12/1973,10.27
10/12/1973,10.7
11/12/1973,10.72
12/12/1973,11.22
13/12/1973,11.08
14/12/1973,11.26
17/12/1973,11.76
18/12/1973,11.7
19/12/1973,12.2
20/12/1973,12.5
21/12/1973,12.54
26/12/1973,13.04
27/12/1973,13.33
28/12/1973,12.83
31/12/1973,12.33
02/01/1974,12.83
03/01/1974,12.33
04/01/1974,12.48
07/01/1974,12.58
08/01/1974,12.41
09/01/1974,12.89
10/01/1974,13.39
11/01/1974,13.89
14/01/1974,14.39
15/01/1974,14.89
16/01/1974,14.39
17/01/1974,14.89
18/01/1974,15.32
21/01/1974,15.48
22/01/1974,15.01
23/01/1974,15.04
24/01/1974,15.54
25/01/1974,16.04
28/01/1974,17.04
29/01/1974,17.75
30/01/1974,18.04
31/01/1974,18.52
01/02/1974,18.1
04/02/1974,17.35
05/02/1974,18.76
06/02/1974,18.5
07/02/1974,18.1
08/02/1974,18.4
11/02/1974,19.28
13/02/1974,20.42
14/02/1974,20.8
15/02/1974,21.24
19/02/1974,23.78
20/02/1974,24.63
21/02/1974,26.96
22/02/1974,25.55
25/02/1974,22.67
26/02/1974,21.65
27/02/1974,20.49
28/02/1974,19.85
01/03/1974,21.28
04/03/1974,22.28
05/03/1974,21.95
06/03/1974,20.95
07/03/1974,19.95
08/03/1974,19.76
11/03/1974,20.76
12/03/1974,21.76
13/03/1974,20.76
14/03/1974,20.39
15/03/1974,21
18/03/1974,22
19/03/1974,22.31
20/03/1974,22.22
21/03/1974,21.22
22/03/1974,21.18
25/03/1974,20.18
26/03/1974,19.25
27/03/1974,18.31
28/03/1974,19.23
29/03/1974,20.23
01/04/1974,18.92
02/04/1974,18.88
03/04/1974,19.68
04/04/1974,21
05/04/1974,21.6
08/04/1974,19.9
09/04/1974,20.37
10/04/1974,21.75
11/04/1974,21.54
15/04/1974,22.05
16/04/1974,21.82
17/04/1974,22.72
18/04/1974,23.9
19/04/1974,23.88
22/04/1974,23.75
23/04/1974,21.35
24/04/1974,21.94
25/04/1974,22.61
26/04/1974,22.78
29/04/1974,22.3
30/04/1974,23
01/05/1974,23.44
02/05/1974,23.94
03/05/1974,24.45
06/05/1974,23.45
07/05/1974,24.45
08/05/1974,25.08
09/05/1974,24.5
10/05/1974,24.92
13/05/1974,24
14/05/1974,23.82
15/05/1974,23.58
16/05/1974,24.58
17/05/1974,23.95
20/05/1974,22.95
21/05/1974,22.07
22/05/1974,21.9
23/05/1974,22.14
24/05/1974,22.46
28/05/1974,21.46
29/05/1974,22.46
30/05/1974,23.08
31/05/1974,23.47
03/06/1974,24.31
04/06/1974,24.53
05/06/1974,24.2
06/06/1974,25.12
07/06/1974,25.79
10/06/1974,24.98
11/06/1974,23.6
12/06/1974,22.62
13/06/1974,22.49
14/06/1974,23.8
17/06/1974,24.45
18/06/1974,23.45
19/06/1974,22.55
20/06/1974,23.54
21/06/1974,22.77
24/06/1974,21.31
25/06/1974,22.6
26/06/1974,22.5
27/06/1974,23.5
28/06/1974,23
01/07/1974,22.3
02/07/1974,21.9
03/07/1974,22.25
05/07/1974,22.75
08/07/1974,22.73
09/07/1974,22.47
10/07/1974,23.24
11/07/1974,22.7
12/07/1974,23.7
15/07/1974,24.43
16/07/1974,24.57
17/07/1974,24.28
18/07/1974,25.28
19/07/1974,26.28
22/07/1974,27.28
23/07/1974,26.28
24/07/1974,27.28
25/07/1974,27.15
26/07/1974,28.15
29/07/1974,27.15
30/07/1974,27.2
31/07/1974,26.9
01/08/1974,28.4
02/08/1974,29.23
05/08/1974,29.42
06/08/1974,31.07
07/08/1974,32.1
08/08/1974,30.52
09/08/1974,29.4
12/08/1974,28.41
13/08/1974,31.61
14/08/1974,28.64
15/08/1974,28.92
16/08/1974,29.92
19/08/1974,30.97
20/08/1974,31.55
21/08/1974,32.17
22/08/1974,33.15
23/08/1974,33.85
26/08/1974,33.93
27/08/1974,35.2
28/08/1974,36.3
29/08/1974,37.3
30/08/1974,33.25
03/09/1974,37.31
04/09/1974,35.45
05/09/1974,33
06/09/1974,33.03
09/09/1974,35
10/09/1974,32.07
11/09/1974,33.48
12/09/1974,31
13/09/1974,32.35
16/09/1974,32.12
17/09/1974,33.05
18/09/1974,33.05
19/09/1974,35.13
20/09/1974,36.13
23/09/1974,35.56
24/09/1974,35.93
25/09/1974,35.97
26/09/1974,35.98
27/09/1974,36.62
30/09/1974,36.5
01/10/1974,33.34
02/10/1974,33.34
03/10/1974,35.21
04/10/1974,36.08
07/10/1974,36.63
08/10/1974,37.63
09/10/1974,38.42
10/10/1974,37.71
11/10/1974,38.71
15/10/1974,39.71
16/10/1974,40.71
17/10/1974,41.14
18/10/1974,40.74
21/10/1974,41.75
22/10/1974,42.05
23/10/1974,41.05
24/10/1974,42.05
25/10/1974,42.2
28/10/1974,43.2
29/10/1974,44.2
30/10/1974,45.2
31/10/1974,46.2
01/11/1974,47.2
04/11/1974,49.2
06/11/1974,51.2
07/11/1974,53.2
08/11/1974,55.2
12/11/1974,57.2
13/11/1974,55.2
14/11/1974,56
15/11/1974,59
18/11/1974,61
19/11/1974,63
20/11/1974,65
21/11/1974,63.2
22/11/1974,61.2
