data,acucar_blr
23/01/2013,44.9
24/01/2013,44.57
25/01/2013,44.66
28/01/2013,44.68
29/01/2013,44.56
30/01/2013,44.21
31/01/2013,44.45
01/02/2013,44.46
04/02/2013,44.43
05/02/2013,44.31
06/02/2013,44.4
07/02/2013,44.09
08/02/2013,43.95
13/02/2013,44.25
14/02/2013,44.16
15/02/2013,44.06
18/02/2013,44.34
19/02/2013,44.26
20/02/2013,44.66
21/02/2013,44.23
22/02/2013,44.43
25/02/2013,44.14
26/02/2013,44.17
27/02/2013,44.26
28/02/2013,44.6
01/03/2013,44.42
04/03/2013,44.41
05/03/2013,44.86
06/03/2013,44.7
07/03/2013,44.77
08/03/2013,45.1
11/03/2013,44.79
12/03/2013,44.7
13/03/2013,46.91
14/03/2013,46.25
15/03/2013,46.08
18/03/2013,45.67
19/03/2013,45.03
20/03/2013,45.16
21/03/2013,45.2
22/03/2013,45.39
25/03/2013,44.81
26/03/2013,45.33
27/03/2013,45.35
28/03/2013,45.14
01/04/2013,45.63
02/04/2013,45.57
03/04/2013,45.48
04/04/2013,45.07
05/04/2013,45.01
08/04/2013,45.16
09/04/2013,45.21
10/04/2013,45.12
11/04/2013,45.16
12/04/2013,45.54
15/04/2013,45.84
16/04/2013,46.68
17/04/2013,47.13
18/04/2013,46.74
19/04/2013,46.84
22/04/2013,47.18
23/04/2013,47.15
24/04/2013,47.14
25/04/2013,46.61
26/04/2013,46.68
29/04/2013,46.74
30/04/2013,46.44
02/05/2013,46.79
03/05/2013,46.4
06/05/2013,46.88
07/05/2013,46.83
08/05/2013,46.55
09/05/2013,46.33
10/05/2013,46.76
13/05/2013,46.37
14/05/2013,45.83
15/05/2013,45.48
16/05/2013,45.73
17/05/2013,45.92
20/05/2013,45.87
21/05/2013,45.2
22/05/2013,45.2
23/05/2013,44.73
24/05/2013,45.09
27/05/2013,45.36
28/05/2013,45.58
29/05/2013,45.83
31/05/2013,45.82
03/06/2013,46.35
04/06/2013,45.67
05/06/2013,45.55
06/06/2013,45.56
07/06/2013,45.65
10/06/2013,45.8
11/06/2013,45.64
12/06/2013,45.78
13/06/2013,45.63
