data,etanol_blr
25/01/2010,1254.5
26/01/2010,1244.5
27/01/2010,1231.5
28/01/2010,1222
29/01/2010,1227.5
01/02/2010,1221.5
02/02/2010,1214.5
03/02/2010,1206.5
04/02/2010,1201.5
05/02/2010,1190
08/02/2010,1187.5
09/02/2010,1175
10/02/2010,1164.5
11/02/2010,1163.5
12/02/2010,1153
17/02/2010,1136.5
18/02/2010,1133.5
19/02/2010,1139
22/02/2010,1111.5
23/02/2010,1090
24/02/2010,1036
25/02/2010,1034.5
26/02/2010,1036.5
01/03/2010,1018.5
02/03/2010,1020.5
03/03/2010,1010
04/03/2010,985.5
05/03/2010,968.5
08/03/2010,926
09/03/2010,891.5
10/03/2010,867
11/03/2010,838.5
12/03/2010,845
15/03/2010,845
16/03/2010,854
17/03/2010,849
18/03/2010,861.5
19/03/2010,862
22/03/2010,856.5
23/03/2010,841
24/03/2010,846
25/03/2010,797.5
26/03/2010,782
29/03/2010,790
30/03/2010,792.5
31/03/2010,824.5
01/04/2010,844
05/04/2010,890.5
06/04/2010,930.5
07/04/2010,978
08/04/2010,970
09/04/2010,970.5
12/04/2010,954
13/04/2010,925.5
14/04/2010,895
15/04/2010,859.5
16/04/2010,835
19/04/2010,815.5
20/04/2010,800
22/04/2010,797.5
23/04/2010,805.5
26/04/2010,802
27/04/2010,792.5
28/04/2010,790.5
29/04/2010,787
30/04/2010,780.5
03/05/2010,781
04/05/2010,773
05/05/2010,773.5
06/05/2010,776.5
07/05/2010,770
10/05/2010,774.5
11/05/2010,774.5
12/05/2010,769.5
13/05/2010,768.5
14/05/2010,768
17/05/2010,765
18/05/2010,768
19/05/2010,770
20/05/2010,763.5
21/05/2010,762
24/05/2010,762.5
25/05/2010,754
26/05/2010,750.5
27/05/2010,741.5
28/05/2010,739.5
31/05/2010,747
01/06/2010,742.5
02/06/2010,742.5
04/06/2010,736
07/06/2010,732.5
08/06/2010,738
09/06/2010,739.5
10/06/2010,735.5
11/06/2010,741
14/06/2010,744.5
15/06/2010,750.5
16/06/2010,778.5
17/06/2010,787.5
18/06/2010,788.5
21/06/2010,795.5
22/06/2010,789
23/06/2010,784
24/06/2010,776
25/06/2010,773.5
28/06/2010,773
29/06/2010,776.5
30/06/2010,781
01/07/2010,780
02/07/2010,768
05/07/2010,783
06/07/2010,798.5
07/07/2010,819.5
08/07/2010,821.5
12/07/2010,857.5
13/07/2010,874
14/07/2010,884.5
15/07/2010,882.5
16/07/2010,873.5
19/07/2010,875.5
20/07/2010,875.5
21/07/2010,870
22/07/2010,861
23/07/2010,860.5
26/07/2010,856.5
27/07/2010,850
28/07/2010,850.5
29/07/2010,862.5
30/07/2010,874
02/08/2010,891.5
03/08/2010,892
04/08/2010,896
05/08/2010,895
06/08/2010,893.5
09/08/2010,891.5
10/08/2010,888
11/08/2010,887
12/08/2010,887.5
13/08/2010,887.5
16/08/2010,887
17/08/2010,882
18/08/2010,885.5
19/08/2010,884.5
20/08/2010,881
23/08/2010,882
24/08/2010,875.5
25/08/2010,876.5
26/08/2010,885
27/08/2010,885
30/08/2010,883
31/08/2010,881.5
01/09/2010,883.5
02/09/2010,888
03/09/2010,889
06/09/2010,892.5
08/09/2010,893.5
09/09/2010,895
10/09/2010,899.5
13/09/2010,905
14/09/2010,909
15/09/2010,915.5
16/09/2010,930.5
17/09/2010,933
20/09/2010,938.5
21/09/2010,950
22/09/2010,954
23/09/2010,955.5
24/09/2010,962.5
27/09/2010,986.5
28/09/2010,1013
29/09/2010,1020.5
30/09/2010,1020
01/10/2010,1018
04/10/2010,1025
05/10/2010,1023
06/10/2010,1023.5
07/10/2010,1025
08/10/2010,1023.5
11/10/2010,1021.5
13/10/2010,1026
14/10/2010,1027
15/10/2010,1028.5
18/10/2010,1029.5
19/10/2010,1029.5
20/10/2010,1026
21/10/2010,1026
22/10/2010,1027.5
25/10/2010,1023.5
26/10/2010,1022
27/10/2010,1024
28/10/2010,1024
29/10/2010,1023
01/11/2010,1024
03/11/2010,1025
04/11/2010,1026
05/11/2010,1026
08/11/2010,1035.5
09/11/2010,1040.5
10/11/2010,1043
11/11/2010,1044
12/11/2010,1045.5
16/11/2010,1049
17/11/2010,1049
18/11/2010,1054
19/11/2010,1054.5
22/11/2010,1061
23/11/2010,1078.5
24/11/2010,1082
25/11/2010,1086.5
26/11/2010,1091
29/11/2010,1100
30/11/2010,1100.5
01/12/2010,1103.5
02/12/2010,1110
03/12/2010,1113
06/12/2010,1120.5
07/12/2010,1121
08/12/2010,1119
09/12/2010,1114.5
10/12/2010,1114.5
13/12/2010,1116.5
14/12/2010,1117
15/12/2010,1123.5
16/12/2010,1125.5
17/12/2010,1136
20/12/2010,1138.5
21/12/2010,1138.5
22/12/2010,1139
23/12/2010,1146
27/12/2010,1152.5
28/12/2010,1153.5
29/12/2010,1170.5
30/12/2010,1173
03/01/2011,1167
04/01/2011,1166.5
05/01/2011,1159
06/01/2011,1155
07/01/2011,1158
10/01/2011,1155.5
11/01/2011,1154.5
12/01/2011,1152.5
13/01/2011,1152.5
14/01/2011,1152
17/01/2011,1155
18/01/2011,1154
19/01/2011,1155.5
20/01/2011,1159.5
21/01/2011,1162.5
24/01/2011,1154.5
26/01/2011,1165.5
27/01/2011,1157.5
28/01/2011,1159.5
31/01/2011,1159.5
01/02/2011,1160
02/02/2011,1165
03/02/2011,1162.5
04/02/2011,1167
07/02/2011,1170
08/02/2011,1180.5
09/02/2011,1189
10/02/2011,1206.5
11/02/2011,1219.5
14/02/2011,1224.5
15/02/2011,1229
16/02/2011,1235.5
17/02/2011,1237.5
18/02/2011,1245
21/02/2011,1252.5
22/02/2011,1256.5
23/02/2011,1276
24/02/2011,1301
25/02/2011,1321
28/02/2011,1349.5
01/03/2011,1375
02/03/2011,1392.5
03/03/2011,1400.5
04/03/2011,1395.5
09/03/2011,1394.5
10/03/2011,1416.5
11/03/2011,1429.5
14/03/2011,1432.5
15/03/2011,1459
16/03/2011,1531.5
17/03/2011,1599.5
18/03/2011,1642
21/03/2011,1662.5
22/03/2011,1686
23/03/2011,1694
24/03/2011,1667.5
25/03/2011,1629
28/03/2011,1612
29/03/2011,1571.5
30/03/2011,1537
31/03/2011,1507.5
01/04/2011,1457
04/04/2011,1450
05/04/2011,1447
06/04/2011,1426.5
07/04/2011,1419
08/04/2011,1418.5
11/04/2011,1418
12/04/2011,1417
13/04/2011,1419
14/04/2011,1453
15/04/2011,1470.5
18/04/2011,1500.5
19/04/2011,1509
20/04/2011,1495
25/04/2011,1449
26/04/2011,1427.5
27/04/2011,1386
28/04/2011,1340
29/04/2011,1304.5
02/05/2011,1266
03/05/2011,1210
04/05/2011,1144.5
05/05/2011,1056
06/05/2011,1021.5
09/05/2011,1020.5
10/05/2011,1017
11/05/2011,1013.5
12/05/2011,1017.5
13/05/2011,1017.5
16/05/2011,1018
17/05/2011,1022
18/05/2011,1026
19/05/2011,1032.5
20/05/2011,1040.5
23/05/2011,1058.5
24/05/2011,1069
25/05/2011,1065
26/05/2011,1063.5
27/05/2011,1064
30/05/2011,1057
31/05/2011,1062.5
01/06/2011,1052.5
02/06/2011,1058.5
03/06/2011,1058
06/06/2011,1068
07/06/2011,1077
08/06/2011,1109
09/06/2011,1150
10/06/2011,1161.5
13/06/2011,1174.5
14/06/2011,1192.5
15/06/2011,1195.5
16/06/2011,1198
17/06/2011,1198
20/06/2011,1199
21/06/2011,1199.5
22/06/2011,1199
24/06/2011,1197
27/06/2011,1201.5
28/06/2011,1200.5
29/06/2011,1205
30/06/2011,1202
01/07/2011,1200
04/07/2011,1192.5
05/07/2011,1186
06/07/2011,1181.5
07/07/2011,1181
08/07/2011,1174
11/07/2011,1175.5
12/07/2011,1176.5
13/07/2011,1182.5
14/07/2011,1183
15/07/2011,1184.5
18/07/2011,1184.5
19/07/2011,1180.5
20/07/2011,1178
21/07/2011,1186
22/07/2011,1186
25/07/2011,1174
26/07/2011,1177.5
27/07/2011,1183
28/07/2011,1182.5
29/07/2011,1183.5
01/08/2011,1182
02/08/2011,1173
03/08/2011,1177.5
04/08/2011,1176.5
05/08/2011,1183.5
08/08/2011,1182.5
09/08/2011,1181.5
10/08/2011,1192
11/08/2011,1201
12/08/2011,1208
15/08/2011,1220
16/08/2011,1251.5
17/08/2011,1263
18/08/2011,1266.5
19/08/2011,1275
22/08/2011,1284.5
23/08/2011,1288
24/08/2011,1293
25/08/2011,1291.5
26/08/2011,1294
29/08/2011,1290
30/08/2011,1280
31/08/2011,1278
01/09/2011,1276.5
02/09/2011,1274.5
05/09/2011,1268.5
06/09/2011,1266.5
08/09/2011,1263.5
09/09/2011,1255.5
12/09/2011,1253.5
13/09/2011,1255
14/09/2011,1253.5
15/09/2011,1253.5
16/09/2011,1253.5
19/09/2011,1238.5
20/09/2011,1235
21/09/2011,1233
22/09/2011,1228
23/09/2011,1223.5
26/09/2011,1222
27/09/2011,1223.5
28/09/2011,1227
29/09/2011,1224.5
30/09/2011,1228
03/10/2011,1240.5
04/10/2011,1244.5
05/10/2011,1252.5
06/10/2011,1274.5
07/10/2011,1274
10/10/2011,1275.5
11/10/2011,1277.5
13/10/2011,1272.5
14/10/2011,1273
17/10/2011,1276.5
18/10/2011,1278
19/10/2011,1283
20/10/2011,1287
21/10/2011,1293.5
24/10/2011,1296.5
25/10/2011,1303.5
26/10/2011,1307
27/10/2011,1311
28/10/2011,1312
31/10/2011,1311
01/11/2011,1314.5
03/11/2011,1314.5
04/11/2011,1313.5
07/11/2011,1317
08/11/2011,1318.5
09/11/2011,1319
10/11/2011,1320.5
11/11/2011,1328
14/11/2011,1327
16/11/2011,1329
17/11/2011,1328.5
18/11/2011,1330.5
21/11/2011,1333
22/11/2011,1330.5
23/11/2011,1338
24/11/2011,1338
25/11/2011,1336
28/11/2011,1332.5
29/11/2011,1328.5
30/11/2011,1326
01/12/2011,1328
02/12/2011,1325.5
05/12/2011,1323
