data,etanol_blr
29/11/2002,0.6842
06/12/2002,0.6897
13/12/2002,0.6926
20/12/2002,0.7065
27/12/2002,0.6941
03/01/2003,0.7281
10/01/2003,0.7927
17/01/2003,0.8195
24/01/2003,0.861
31/01/2003,0.8577
07/02/2003,0.884
14/02/2003,0.8621
21/02/2003,0.8696
28/02/2003,0.872
07/03/2003,0.8959
14/03/2003,0.8966
21/03/2003,0.8623
28/03/2003,0.8419
04/04/2003,0.8377
11/04/2003,0.8374
18/04/2003,0.841
25/04/2003,0.8495
02/05/2003,0.8241
09/05/2003,0.7958
16/05/2003,0.7801
23/05/2003,0.6918
30/05/2003,0.631
06/06/2003,0.6078
13/06/2003,0.5839
20/06/2003,0.5532
27/06/2003,0.5183
04/07/2003,0.4639
11/07/2003,0.4636
18/07/2003,0.4673
25/07/2003,0.5322
01/08/2003,0.5849
08/08/2003,0.5935
15/08/2003,0.6105
22/08/2003,0.6113
29/08/2003,0.6158
05/09/2003,0.6127
12/09/2003,0.6003
19/09/2003,0.5543
26/09/2003,0.5329
03/10/2003,0.4857
10/10/2003,0.5228
17/10/2003,0.5567
24/10/2003,0.5592
31/10/2003,0.5149
07/11/2003,0.5299
14/11/2003,0.5633
21/11/2003,0.5634
28/11/2003,0.5764
05/12/2003,0.6037
12/12/2003,0.6142
19/12/2003,0.617
26/12/2003,0.6068
02/01/2004,0.6071
09/01/2004,0.5903
16/01/2004,0.5588
23/01/2004,0.5092
30/01/2004,0.525
06/02/2004,0.4838
13/02/2004,0.3715
20/02/2004,0.3186
27/02/2004,0.3606
05/03/2004,0.3542
12/03/2004,0.3243
19/03/2004,0.3297
26/03/2004,0.3443
02/04/2004,0.425
09/04/2004,0.448
16/04/2004,0.4239
23/04/2004,0.3878
30/04/2004,0.4026
07/05/2004,0.4094
14/05/2004,0.4359
21/05/2004,0.5035
28/05/2004,0.5563
04/06/2004,0.5411
11/06/2004,0.5353
18/06/2004,0.5324
25/06/2004,0.538
02/07/2004,0.5413
09/07/2004,0.5424
16/07/2004,0.5699
23/07/2004,0.6489
30/07/2004,0.6593
06/08/2004,0.66
13/08/2004,0.6583
20/08/2004,0.6501
27/08/2004,0.6427
03/09/2004,0.6389
10/09/2004,0.6433
17/09/2004,0.6472
24/09/2004,0.6819
01/10/2004,0.7208
08/10/2004,0.7552
15/10/2004,0.7706
22/10/2004,0.8113
29/10/2004,0.8261
05/11/2004,0.8387
12/11/2004,0.8445
19/11/2004,0.8415
26/11/2004,0.8293
03/12/2004,0.7875
