data_inicio,data_fim,gasolina_blr
30/12/2012,05/01/2013,2.637
06/01/2013,12/01/2013,2.656
13/01/2013,19/01/2013,2.629
20/01/2013,26/01/2013,2.647
27/01/2013,02/02/2013,2.653
03/02/2013,09/02/2013,2.762
10/02/2013,16/02/2013,2.765
17/02/2013,23/02/2013,2.771
24/02/2013,02/03/2013,2.771
03/03/2013,09/03/2013,2.781
10/03/2013,16/03/2013,2.775
17/03/2013,23/03/2013,2.779
24/03/2013,30/03/2013,2.756
31/03/2013,06/04/2013,2.777
07/04/2013,13/04/2013,2.754
14/04/2013,20/04/2013,2.775
21/04/2013,27/04/2013,2.768
28/04/2013,04/05/2013,2.768
05/05/2013,11/05/2013,2.758
12/05/2013,18/05/2013,2.766
19/05/2013,25/05/2013,2.739
26/05/2013,01/06/2013,2.737
02/06/2013,08/06/2013,2.728
09/06/2013,15/06/2013,2.74
16/06/2013,22/06/2013,2.719
23/06/2013,29/06/2013,2.717
30/06/2013,06/07/2013,2.722
07/07/2013,13/07/2013,2.709
14/07/2013,20/07/2013,2.716
21/07/2013,27/07/2013,2.721
28/07/2013,03/08/2013,2.707
04/08/2013,10/08/2013,2.701
11/08/2013,17/08/2013,2.704
18/08/2013,24/08/2013,2.714
25/08/2013,31/08/2013,2.702
01/09/2013,07/09/2013,2.704
08/09/2013,14/09/2013,2.706
15/09/2013,21/09/2013,2.709
22/09/2013,28/09/2013,2.71
29/09/2013,05/10/2013,2.717
06/10/2013,12/10/2013,2.715
13/10/2013,19/10/2013,2.711
20/10/2013,26/10/2013,2.713
27/10/2013,02/11/2013,2.713
03/11/2013,09/11/2013,2.711
10/11/2013,16/11/2013,2.717
17/11/2013,23/11/2013,2.714
24/11/2013,30/11/2013,2.727
01/12/2013,07/12/2013,2.814
08/12/2013,14/12/2013,2.829
15/12/2013,21/12/2013,2.824
22/12/2013,28/12/2013,2.835
29/12/2013,04/01/2014,2.837
05/01/2014,11/01/2014,2.843
12/01/2014,18/01/2014,2.823
19/01/2014,25/01/2014,2.845
26/01/2014,01/02/2014,2.829
02/02/2014,08/02/2014,2.836
09/02/2014,15/02/2014,2.834
16/02/2014,22/02/2014,2.838
23/02/2014,01/03/2014,2.841
02/03/2014,08/03/2014,2.878
09/03/2014,15/03/2014,2.878
16/03/2014,22/03/2014,2.891
23/03/2014,29/03/2014,2.892
30/03/2014,05/04/2014,2.898
06/04/2014,12/04/2014,2.891
13/04/2014,19/04/2014,2.88
20/04/2014,26/04/2014,2.891
27/04/2014,03/05/2014,2.888
04/05/2014,10/05/2014,2.883
11/05/2014,17/05/2014,2.886
18/05/2014,24/05/2014,2.878
25/05/2014,31/05/2014,2.876
01/06/2014,07/06/2014,2.881
08/06/2014,14/06/2014,2.863
15/06/2014,21/06/2014,2.861
22/06/2014,28/06/2014,2.872
29/06/2014,05/07/2014,2.861
06/07/2014,12/07/2014,2.855
13/07/2014,19/07/2014,2.867
20/07/2014,26/07/2014,2.855
27/07/2014,02/08/2014,2.844
03/08/2014,09/08/2014,2.855
10/08/2014,16/08/2014,2.854
17/08/2014,23/08/2014,2.856
24/08/2014,30/08/2014,2.86
31/08/2014,06/09/2014,2.85
07/09/2014,13/09/2014,2.845
14/09/2014,20/09/2014,2.855
21/09/2014,27/09/2014,2.842
28/09/2014,04/10/2014,2.843
05/10/2014,11/10/2014,2.841
12/10/2014,18/10/2014,2.855
19/10/2014,25/10/2014,2.839
26/10/2014,01/11/2014,2.841
02/11/2014,08/11/2014,2.853
09/11/2014,15/11/2014,2.89
16/11/2014,22/11/2014,2.899
23/11/2014,29/11/2014,2.902
30/11/2014,06/12/2014,2.904
07/12/2014,13/12/2014,2.904
14/12/2014,20/12/2014,2.899
21/12/2014,27/12/2014,2.911
28/12/2014,03/01/2015,2.903
04/01/2015,10/01/2015,2.905
11/01/2015,17/01/2015,2.908
18/01/2015,24/01/2015,2.93
25/01/2015,31/01/2015,2.93
01/02/2015,07/02/2015,3.1
08/02/2015,14/02/2015,3.157
15/02/2015,21/02/2015,3.172
22/02/2015,28/02/2015,3.17
01/03/2015,07/03/2015,3.177
08/03/2015,14/03/2015,3.185
15/03/2015,21/03/2015,3.173
22/03/2015,28/03/2015,3.168
29/03/2015,04/04/2015,3.17
05/04/2015,11/04/2015,3.149
12/04/2015,18/04/2015,3.154
19/04/2015,25/04/2015,3.148
26/04/2015,02/05/2015,3.141
03/05/2015,09/05/2015,3.134
10/05/2015,16/05/2015,3.128
17/05/2015,23/05/2015,3.138
24/05/2015,30/05/2015,3.141
31/05/2015,06/06/2015,3.126
07/06/2015,13/06/2015,3.13
14/06/2015,20/06/2015,3.143
21/06/2015,27/06/2015,3.126
28/06/2015,04/07/2015,3.11
05/07/2015,11/07/2015,3.123
12/07/2015,18/07/2015,3.11
19/07/2015,25/07/2015,3.099
26/07/2015,01/08/2015,3.106
02/08/2015,08/08/2015,3.088
09/08/2015,15/08/2015,3.1
23/08/2015,29/08/2015,3.076
30/08/2015,05/09/2015,3.089
06/09/2015,12/09/2015,3.087
13/09/2015,19/09/2015,3.074
20/09/2015,26/09/2015,3.103
27/09/2015,03/10/2015,3.133
04/10/2015,10/10/2015,3.278
11/10/2015,17/10/2015,3.32
18/10/2015,24/10/2015,3.32
25/10/2015,31/10/2015,3.335
01/11/2015,07/11/2015,3.397
08/11/2015,14/11/2015,3.458
15/11/2015,21/11/2015,3.445
22/11/2015,28/11/2015,3.477
29/11/2015,05/12/2015,3.507
06/12/2015,12/12/2015,3.495
13/12/2015,19/12/2015,3.501
20/12/2015,26/12/2015,3.515
27/12/2015,02/01/2016,3.508
03/01/2016,09/01/2016,3.505
10/01/2016,16/01/2016,3.518
17/01/2016,23/01/2016,3.519
24/01/2016,30/01/2016,3.54
31/01/2016,06/02/2016,3.544
07/02/2016,13/02/2016,3.539
14/02/2016,20/02/2016,3.542
21/02/2016,27/02/2016,3.551
28/02/2016,05/03/2016,3.55
06/03/2016,12/03/2016,3.552
13/03/2016,19/03/2016,3.572
20/03/2016,26/03/2016,3.566
27/03/2016,02/04/2016,3.589
03/04/2016,09/04/2016,3.557
10/04/2016,16/04/2016,3.542
17/04/2016,23/04/2016,3.536
24/04/2016,30/04/2016,3.516
01/05/2016,07/05/2016,3.498
08/05/2016,14/05/2016,3.501
15/05/2016,21/05/2016,3.486
22/05/2016,28/05/2016,3.455
29/05/2016,04/06/2016,3.451
05/06/2016,11/06/2016,3.478
12/06/2016,18/06/2016,3.464
19/06/2016,25/06/2016,3.459
26/06/2016,02/07/2016,3.453
03/07/2016,09/07/2016,3.459
10/07/2016,16/07/2016,3.432
17/07/2016,23/07/2016,3.441
24/07/2016,30/07/2016,3.428
31/07/2016,06/08/2016,3.454
07/08/2016,13/08/2016,3.453
14/08/2016,20/08/2016,3.447
21/08/2016,27/08/2016,3.423
28/08/2016,03/09/2016,3.455
04/09/2016,10/09/2016,3.446
11/09/2016,17/09/2016,3.455
18/09/2016,24/09/2016,3.432
25/09/2016,01/10/2016,3.463
02/10/2016,08/10/2016,3.448
09/10/2016,15/10/2016,3.458
16/10/2016,22/10/2016,3.472
23/10/2016,29/10/2016,3.48
30/10/2016,05/11/2016,3.514
06/11/2016,12/11/2016,3.51
13/11/2016,19/11/2016,3.495
20/11/2016,26/11/2016,3.515
27/11/2016,03/12/2016,3.492
04/12/2016,10/12/2016,3.54
11/12/2016,17/12/2016,3.561
18/12/2016,24/12/2016,3.6
25/12/2016,31/12/2016,3.594
01/01/2017,07/01/2017,3.605
08/01/2017,14/01/2017,3.63
15/01/2017,21/01/2017,3.649
22/01/2017,28/01/2017,3.628
29/01/2017,04/02/2017,3.634
05/02/2017,11/02/2017,3.611
12/02/2017,18/02/2017,3.624
19/02/2017,25/02/2017,3.606
26/02/2017,04/03/2017,3.604
05/03/2017,11/03/2017,3.556
12/03/2017,18/03/2017,3.532
19/03/2017,25/03/2017,3.509
26/03/2017,01/04/2017,3.502
02/04/2017,08/04/2017,3.458
09/04/2017,15/04/2017,3.468
16/04/2017,22/04/2017,3.455
23/04/2017,29/04/2017,3.448
30/04/2017,06/05/2017,3.425
07/05/2017,13/05/2017,3.442
14/05/2017,20/05/2017,3.425
21/05/2017,27/05/2017,3.406
28/05/2017,03/06/2017,3.374
04/06/2017,10/06/2017,3.356
11/06/2017,17/06/2017,3.339
18/06/2017,24/06/2017,3.322
25/06/2017,01/07/2017,3.289
02/07/2017,08/07/2017,3.282
09/07/2017,15/07/2017,3.286
16/07/2017,22/07/2017,3.234
23/07/2017,29/07/2017,3.513
30/07/2017,05/08/2017,3.533
06/08/2017,12/08/2017,3.54
13/08/2017,19/08/2017,3.519
20/08/2017,26/08/2017,3.554
27/08/2017,02/09/2017,3.577
03/09/2017,09/09/2017,3.614
10/09/2017,16/09/2017,3.612
17/09/2017,23/09/2017,3.628
24/09/2017,30/09/2017,3.668
01/10/2017,07/10/2017,3.724
08/10/2017,14/10/2017,3.663
15/10/2017,21/10/2017,3.692
22/10/2017,28/10/2017,3.674
29/10/2017,04/11/2017,3.687
05/11/2017,11/11/2017,3.751
12/11/2017,18/11/2017,3.762
19/11/2017,25/11/2017,3.826
26/11/2017,02/12/2017,3.902
03/12/2017,09/12/2017,3.876
10/12/2017,16/12/2017,3.878
17/12/2017,23/12/2017,3.941
24/12/2017,30/12/2017,3.945
31/12/2017,06/01/2018,3.975
07/01/2018,13/01/2018,3.988
14/01/2018,20/01/2018,4.002
21/01/2018,27/01/2018,4.006
28/01/2018,03/02/2018,4.019
04/02/2018,10/02/2018,4.004
11/02/2018,17/02/2018,4.014
18/02/2018,24/02/2018,4.008
25/02/2018,03/03/2018,3.992
04/03/2018,10/03/2018,3.97
11/03/2018,17/03/2018,4.003
18/03/2018,24/03/2018,3.988
25/03/2018,31/03/2018,3.992
01/04/2018,07/04/2018,4.007
08/04/2018,14/04/2018,4.008
15/04/2018,21/04/2018,4.006
22/04/2018,28/04/2018,4.035
29/04/2018,05/05/2018,4.005
06/05/2018,12/05/2018,4.032
13/05/2018,19/05/2018,4.056
20/05/2018,26/05/2018,4.196
27/05/2018,02/06/2018,4.502
03/06/2018,09/06/2018,4.416
10/06/2018,16/06/2018,4.349
17/06/2018,23/06/2018,4.326
24/06/2018,30/06/2018,4.274
01/07/2018,07/07/2018,4.272
08/07/2018,14/07/2018,4.259
15/07/2018,21/07/2018,4.268
22/07/2018,28/07/2018,4.241
29/07/2018,04/08/2018,4.235
05/08/2018,11/08/2018,4.221
12/08/2018,18/08/2018,4.208
19/08/2018,25/08/2018,4.189
26/08/2018,01/09/2018,4.224
02/09/2018,08/09/2018,4.296
09/09/2018,15/09/2018,4.409
16/09/2018,22/09/2018,4.414
23/09/2018,29/09/2018,4.476
30/09/2018,06/10/2018,4.469
07/10/2018,13/10/2018,4.499
14/10/2018,20/10/2018,4.512
21/10/2018,27/10/2018,4.506
28/10/2018,03/11/2018,4.49
04/11/2018,10/11/2018,4.452
11/11/2018,17/11/2018,4.377
18/11/2018,24/11/2018,4.332
25/11/2018,01/12/2018,4.291
02/12/2018,08/12/2018,4.187
09/12/2018,15/12/2018,4.148
16/12/2018,22/12/2018,4.129
23/12/2018,29/12/2018,4.129
30/12/2018,05/01/2019,4.113
06/01/2019,12/01/2019,4.104
13/01/2019,19/01/2019,4.058
20/01/2019,26/01/2019,4.012
27/01/2019,02/02/2019,4.004
03/02/2019,09/02/2019,3.974
10/02/2019,16/02/2019,3.966
17/02/2019,23/02/2019,3.967
24/02/2019,02/03/2019,3.989
03/03/2019,09/03/2019,3.994
