data,acucar_usd
30/11/2022,19.63
29/11/2022,19.53
28/11/2022,19.38
25/11/2022,19.33
23/11/2022,19.55
22/11/2022,19.74
21/11/2022,19.86
18/11/2022,20.05
17/11/2022,19.73
16/11/2022,20.27
15/11/2022,20.29
14/11/2022,19.83
11/11/2022,19.64
10/11/2022,19.41
09/11/2022,19.38
08/11/2022,19.00
07/11/2022,18.68
04/11/2022,18.71
03/11/2022,18.47
02/11/2022,18.47
01/11/2022,18.43
31/10/2022,17.97
28/10/2022,17.58
27/10/2022,17.71
26/10/2022,17.86
25/10/2022,18.11
24/10/2022,18.13
21/10/2022,18.38
20/10/2022,18.39
19/10/2022,18.65
18/10/2022,18.67
17/10/2022,18.77
14/10/2022,18.84
13/10/2022,18.81
12/10/2022,18.68
11/10/2022,18.74
10/10/2022,18.61
07/10/2022,18.68
06/10/2022,18.46
05/10/2022,17.95
04/10/2022,17.91
03/10/2022,17.42
30/09/2022,18.42
29/09/2022,18.44
28/09/2022,18.29
27/09/2022,18.19
26/09/2022,18.35
23/09/2022,18.28
22/09/2022,18.49
21/09/2022,18.22
20/09/2022,18.19
19/09/2022,17.69
16/09/2022,17.88
15/09/2022,18.18
14/09/2022,18.27
13/09/2022,18.38
12/09/2022,18.35
09/09/2022,18.22
08/09/2022,17.91
07/09/2022,18.05
06/09/2022,17.98
02/09/2022,18.15
01/09/2022,17.99
31/08/2022,17.89
30/08/2022,18.10
29/08/2022,18.44
26/08/2022,18.47
25/08/2022,17.90
24/08/2022,18.04
23/08/2022,17.89
22/08/2022,17.94
19/08/2022,18.09
18/08/2022,17.77
17/08/2022,18.24
16/08/2022,18.27
15/08/2022,18.54
12/08/2022,18.60
11/08/2022,18.49
10/08/2022,18.28
09/08/2022,17.98
08/08/2022,17.96
05/08/2022,17.94
04/08/2022,17.55
03/08/2022,17.77
02/08/2022,17.69
01/08/2022,17.60
