data,acucar_blr
20/05/2003,29.65
21/05/2003,29.26
22/05/2003,28.81
23/05/2003,28.35
26/05/2003,27.83
27/05/2003,27.76
28/05/2003,27.48
29/05/2003,27.23
30/05/2003,27.04
02/06/2003,26.74
03/06/2003,26.66
04/06/2003,26.63
05/06/2003,26.55
06/06/2003,26.43
09/06/2003,26.41
10/06/2003,26.2
11/06/2003,25.94
12/06/2003,25.71
13/06/2003,25.64
16/06/2003,25.58
17/06/2003,24.95
18/06/2003,24.43
20/06/2003,24.08
23/06/2003,23.72
24/06/2003,23.28
25/06/2003,23.21
26/06/2003,23.25
27/06/2003,23.31
30/06/2003,23.12
01/07/2003,23.22
02/07/2003,23.15
03/07/2003,23.07
04/07/2003,23.05
07/07/2003,23
08/07/2003,23.07
10/07/2003,23.11
11/07/2003,23.09
14/07/2003,23.09
15/07/2003,23.08
16/07/2003,23.1
17/07/2003,23.15
18/07/2003,23.38
21/07/2003,23.67
22/07/2003,23.82
23/07/2003,24.06
24/07/2003,24.52
25/07/2003,24.86
28/07/2003,25.41
29/07/2003,25.8
30/07/2003,26.49
31/07/2003,27.24
01/08/2003,27.83
04/08/2003,28.39
05/08/2003,29.01
06/08/2003,29.66
07/08/2003,30.16
08/08/2003,30.19
11/08/2003,30.14
12/08/2003,30.23
13/08/2003,30.22
14/08/2003,30.33
15/08/2003,29.93
18/08/2003,29.76
19/08/2003,30.01
20/08/2003,29.98
21/08/2003,29.8
22/08/2003,29.78
25/08/2003,29.1
26/08/2003,28.68
27/08/2003,28.49
28/08/2003,28.28
29/08/2003,27.64
01/09/2003,27.51
02/09/2003,27.36
03/09/2003,27.08
04/09/2003,26.62
05/09/2003,25.89
08/09/2003,25.95
09/09/2003,25.46
10/09/2003,25.31
11/09/2003,24.71
12/09/2003,24.5
15/09/2003,24.41
16/09/2003,24.33
17/09/2003,24.28
18/09/2003,23.89
19/09/2003,23.12
22/09/2003,22.87
23/09/2003,22.4
24/09/2003,22.28
25/09/2003,22.16
26/09/2003,21.78
29/09/2003,21.64
30/09/2003,21.35
01/10/2003,21.29
02/10/2003,21.41
03/10/2003,21.5
06/10/2003,21.8
07/10/2003,21.89
08/10/2003,21.99
09/10/2003,21.91
10/10/2003,21.82
13/10/2003,21.76
14/10/2003,21.71
15/10/2003,21.63
16/10/2003,21.59
17/10/2003,21.34
20/10/2003,21.1
21/10/2003,21.02
22/10/2003,20.96
23/10/2003,20.73
24/10/2003,20.47
27/10/2003,20.44
28/10/2003,20.06
29/10/2003,20.05
30/10/2003,20.02
31/10/2003,19.74
03/11/2003,19.72
04/11/2003,19.72
05/11/2003,19.68
06/11/2003,19.79
07/11/2003,20.14
10/11/2003,20.17
11/11/2003,20.28
12/11/2003,20.29
13/11/2003,20.14
14/11/2003,20.28
17/11/2003,20.34
18/11/2003,20.4
19/11/2003,20.47
20/11/2003,20.55
21/11/2003,20.66
24/11/2003,20.83
25/11/2003,21
26/11/2003,21.03
27/11/2003,21.01
28/11/2003,21.01
01/12/2003,21.04
02/12/2003,21.33
03/12/2003,21.21
04/12/2003,21.32
05/12/2003,21.34
08/12/2003,21.65
09/12/2003,21.65
10/12/2003,21.61
11/12/2003,21.59
12/12/2003,21.51
15/12/2003,21.6
16/12/2003,21.47
17/12/2003,21.53
18/12/2003,21.65
19/12/2003,21.39
22/12/2003,21.4
23/12/2003,21.56
26/12/2003,21.27
29/12/2003,21.2
30/12/2003,21.17
02/01/2004,20.95
05/01/2004,20.87
06/01/2004,21
07/01/2004,20.96
08/01/2004,20.89
09/01/2004,20.94
12/01/2004,20.82
13/01/2004,20.67
14/01/2004,20.51
15/01/2004,20.32
16/01/2004,19.75
19/01/2004,19.32
20/01/2004,19.26
21/01/2004,18.98
22/01/2004,18.75
23/01/2004,18.57
26/01/2004,18.48
27/01/2004,18.14
28/01/2004,17.96
29/01/2004,17.91
30/01/2004,17.8
02/02/2004,18.21
03/02/2004,18.27
04/02/2004,18.19
05/02/2004,18.24
06/02/2004,18.25
09/02/2004,18.36
10/02/2004,18.33
11/02/2004,18.33
12/02/2004,18.21
13/02/2004,18.2
16/02/2004,18.21
17/02/2004,18.09
18/02/2004,18.07
19/02/2004,17.94
20/02/2004,17.86
25/02/2004,18.02
26/02/2004,18.2
27/02/2004,18.19
01/03/2004,18.25
02/03/2004,18.32
03/03/2004,18.32
04/03/2004,18.33
05/03/2004,18.66
08/03/2004,18.88
09/03/2004,19.49
10/03/2004,19.45
11/03/2004,19.82
12/03/2004,20.12
15/03/2004,20.59
16/03/2004,21.08
17/03/2004,21.63
18/03/2004,21.86
19/03/2004,22.04
22/03/2004,22.77
23/03/2004,23.53
24/03/2004,24.12
25/03/2004,25.25
26/03/2004,25.68
29/03/2004,25.97
30/03/2004,26.23
31/03/2004,26.87
01/04/2004,27.28
02/04/2004,28.29
05/04/2004,28.77
06/04/2004,29.04
07/04/2004,29.06
08/04/2004,28.99
12/04/2004,29.22
13/04/2004,29.44
14/04/2004,29.44
15/04/2004,29.33
16/04/2004,28.69
19/04/2004,28.44
20/04/2004,28.72
22/04/2004,27.92
23/04/2004,27.86
26/04/2004,27.44
27/04/2004,26.84
28/04/2004,25.69
29/04/2004,25.23
30/04/2004,24.31
03/05/2004,23.96
04/05/2004,23.83
05/05/2004,23.53
06/05/2004,23.14
07/05/2004,22.95
10/05/2004,22.92
11/05/2004,22.48
12/05/2004,22.24
13/05/2004,21.94
14/05/2004,21.89
17/05/2004,21.67
18/05/2004,21.24
19/05/2004,21.09
20/05/2004,21.31
21/05/2004,21.43
24/05/2004,21.61
25/05/2004,22.19
26/05/2004,22.49
27/05/2004,22.84
28/05/2004,22.97
31/05/2004,23.17
01/06/2004,23.55
02/06/2004,24.42
03/06/2004,24.95
04/06/2004,25.47
07/06/2004,25.98
08/06/2004,26.54
09/06/2004,26.85
11/06/2004,26.99
14/06/2004,27.17
15/06/2004,27.31
16/06/2004,27.32
17/06/2004,27.34
18/06/2004,27.26
21/06/2004,27.34
22/06/2004,27.35
23/06/2004,27.44
24/06/2004,27.12
25/06/2004,27.01
28/06/2004,26.86
29/06/2004,26.9
30/06/2004,26.8
01/07/2004,26.6
02/07/2004,26.46
05/07/2004,26.36
06/07/2004,26.79
07/07/2004,26.89
08/07/2004,27.01
12/07/2004,27.04
13/07/2004,27.32
14/07/2004,27.46
15/07/2004,27.63
16/07/2004,27.82
