data_inicio,data_fim,etanol_blr
03/07/2022,09/07/2022,4.21
10/07/2022,16/07/2022,4.12
17/07/2022,23/07/2022,4.05
24/07/2022,30/07/2022,3.94
31/07/2022,06/08/2022,3.89
07/08/2022,13/08/2022,3.83
14/08/2022,20/08/2022,3.78
21/08/2022,27/08/2022,3.64
28/08/2022,03/09/2022,3.5
04/09/2022,10/09/2022,3.34
11/09/2022,17/09/2022,3.25
25/09/2022,01/10/2022,3.21
02/10/2022,08/10/2022,3.26
09/10/2022,15/10/2022,3.35
16/10/2022,22/10/2022,3.46
23/10/2022,29/10/2022,3.58
30/10/2022,05/11/2022,3.64
06/11/2022,12/11/2022,3.72
13/11/2022,19/11/2022,3.77
20/11/2022,26/11/2022,3.78
27/11/2022,03/12/2022,3.77
