data,rbob_usd,Abertura,Maxima,Minima,Vol,Var
30/11/2022,2.3847,2.2968,2.3896,2.2942,2.75,2.26
29/11/2022,2.3321,2.3764,2.3764,2.3275,0.72,0.06
28/11/2022,2.3306,2.3214,2.3712,2.2824,0.49,2.31
27/11/2022,2.2779,2.2808,2.2855,2.2664,,-2.16
25/11/2022,2.3282,2.4534,2.4745,2.3499,0.39,-4.95
24/11/2022,2.4495,2.4678,2.4678,2.4495,0.01,-1.01
23/11/2022,2.4744,2.5447,2.5447,2.4073,1.67,-2.60
22/11/2022,2.5405,2.4544,2.5572,2.4544,0.94,7.44
21/11/2022,2.3646,2.3530,2.3918,2.2538,67.07,-2.36
20/11/2022,2.4218,2.4276,2.4292,2.4206,,3.01
18/11/2022,2.3510,2.4051,2.4153,2.2965,44.62,-1.94
17/11/2022,2.3975,2.4635,2.4675,2.3864,57.49,-2.53
16/11/2022,2.4597,2.4886,2.5014,2.4119,53.97,-0.59
15/11/2022,2.4742,2.4833,2.5317,2.4416,47.90,0.09
14/11/2022,2.4719,2.5695,2.5951,2.4645,38.13,-6.72
13/11/2022,2.6500,2.6279,2.6556,2.6254,,3.69
11/11/2022,2.5556,2.5049,2.5815,2.4988,43.67,1.87
10/11/2022,2.5086,2.4743,2.5332,2.4598,43.33,1.30
09/11/2022,2.4765,2.5600,2.5700,2.4727,52.25,-3.43
08/11/2022,2.5645,2.6156,2.6234,2.5400,62.72,-1.07
07/11/2022,2.5923,2.6502,2.6550,2.5880,40.39,-4.21
06/11/2022,2.7062,2.7088,2.7152,2.7054,,2.16
04/11/2022,2.6489,2.5853,2.6990,2.5767,40.00,2.56
03/11/2022,2.5828,2.5992,2.6009,2.5359,46.07,-0.97
02/11/2022,2.6080,2.5267,2.6167,2.5124,41.09,3.29
01/11/2022,2.5249,2.4422,2.5431,2.4405,25.04,2.68
31/10/2022,2.4589,2.4906,2.5041,2.4176,28.93,-4.01
30/10/2022,2.5615,2.5645,2.5664,2.5552,,2.83
28/10/2022,2.4909,2.5416,2.5488,2.4579,36.82,-2.41
27/10/2022,2.5523,2.5293,2.5702,2.4885,35.56,1.85
26/10/2022,2.5059,2.4530,2.5268,2.4374,35.03,1.57
25/10/2022,2.4672,2.4325,2.4700,2.3840,30.29,1.72
24/10/2022,2.4255,2.4011,2.4516,2.3410,22.71,-1.76
23/10/2022,2.4689,2.4611,2.4725,2.4609,,2.47
21/10/2022,2.4093,2.3945,2.4285,2.3682,12.66,0.62
20/10/2022,2.3945,2.4096,2.4610,2.3891,18.44,-0.82
19/10/2022,2.4143,2.3687,2.4215,2.3415,17.23,2.67
18/10/2022,2.3516,2.3960,2.4013,2.2974,19.21,-0.98
17/10/2022,2.3749,2.3965,2.4329,2.3626,13.92,-10.16
16/10/2022,2.6435,2.6356,2.6439,2.6318,,10.50
14/10/2022,2.3922,2.4620,2.4724,2.3736,19.11,-3.20
13/10/2022,2.4713,2.3995,2.4779,2.3621,22.75,2.28
